DATE,REGION,CODE,NB_POINTS_SOUTIRAGE,ENERGIE_SOUTIREE
2022-01-29,Occitanie,76,188736094,88103702880.0
2022-01-29,Pays de la Loire,52,109385012,54664823682.0
2022-01-29,Provence-Alpes-Côte d'Azur,93,168227818,75590472151.0
2022-01-29,Île-de-France,11,313331780,120607326152.0
2022-01-30,Auvergne-Rhône-Alpes,84,231438770,102273520591.0
2022-01-30,Bourgogne-Franche-Comté,27,82263280,35267963810.0
2022-01-30,Bretagne,53,103569838,45355069547.0
2022-01-30,Centre-Val de Loire,24,68821920,34603504812.0
2022-01-30,Grand-Est,44,145771477,60403433268.0
2022-01-30,Hauts-de-France,32,142642136,58500613832.0
2022-01-30,Normandie,28,95189702,44152503589.0
2022-01-30,Nouvelle Aquitaine,75,174023769,81976148309.0
2022-01-30,Occitanie,76,188727148,83361009330.0
2022-01-30,Pays de la Loire,52,109377276,51661291434.0
2022-01-30,Provence-Alpes-Côte d'Azur,93,168222128,71525672741.0
2022-01-30,Île-de-France,11,313320578,114134278939.0
2022-01-31,Auvergne-Rhône-Alpes,84,231467100,103838173409.0
2022-01-31,Bourgogne-Franche-Comté,27,82270822,35797582337.0
2022-01-31,Bretagne,53,103579462,46017354151.0
2022-01-31,Centre-Val de Loire,24,68829042,34974020776.0
2022-01-31,Grand-Est,44,145782583,61537191816.0
2022-01-31,Hauts-de-France,32,142655790,59186758504.0
2022-01-31,Normandie,28,95198842,44786734267.0
2022-01-31,Nouvelle Aquitaine,75,174045922,82846998549.0
2022-01-31,Occitanie,76,188749890,84230342303.0
2022-01-31,Pays de la Loire,52,109391370,52349758549.0
2022-01-31,Provence-Alpes-Côte d'Azur,93,168237114,72397259427.0
2022-01-31,Île-de-France,11,313353752,116310751776.0
2022-02-01,Auvergne-Rhône-Alpes,84,231430912,105488655651.0
2022-02-01,Bourgogne-Franche-Comté,27,82257910,36390973581.0
2022-02-01,Bretagne,53,103573478,46872428720.0
2022-02-01,Centre-Val de Loire,24,68815010,35541452888.0
2022-02-01,Grand-Est,44,145763659,62664740740.0
2022-02-01,Hauts-de-France,32,142635428,60196542931.0
2022-02-01,Normandie,28,95185834,45663346426.0
2022-02-01,Nouvelle Aquitaine,75,174024472,84104379715.0
2022-02-01,Occitanie,76,188723300,85352525139.0
2022-02-01,Pays de la Loire,52,109377892,53227457818.0
2022-02-01,Provence-Alpes-Côte d'Azur,93,168209364,73582778814.0
2022-02-01,Île-de-France,11,313277916,118183325234.0
2022-02-02,Auvergne-Rhône-Alpes,84,231430916,96078730801.0
2022-02-02,Bourgogne-Franche-Comté,27,82254088,33120925904.0
2022-02-02,Bretagne,53,103576879,42668847370.0
2022-02-02,Centre-Val de Loire,24,68812970,32196988485.0
2022-02-02,Grand-Est,44,145755969,57039488673.0
2022-02-02,Hauts-de-France,32,142633826,54966698266.0
2022-02-02,Normandie,28,95186226,41470245325.0
2022-02-02,Nouvelle Aquitaine,75,174021228,76223089248.0
2022-02-02,Occitanie,76,188712150,77460757304.0
2022-02-02,Pays de la Loire,52,109374984,48345391229.0
2022-02-02,Provence-Alpes-Côte d'Azur,93,168209470,66793135868.0
2022-02-02,Île-de-France,11,313282928,108457395446.0
2022-02-03,Auvergne-Rhône-Alpes,84,231448379,96089672507.0
2022-02-03,Bourgogne-Franche-Comté,27,82256500,33182227696.0
2022-02-03,Bretagne,53,103584822,42891824439.0
2022-02-03,Centre-Val de Loire,24,68816110,32271683310.0
2022-02-03,Grand-Est,44,145759391,56554236624.0
2022-02-03,Hauts-de-France,32,142637958,55118667152.0
2022-02-03,Normandie,28,95190315,41637231991.0
2022-02-03,Nouvelle Aquitaine,75,174027740,76325839658.0
2022-02-03,Occitanie,76,188725498,77449695136.0
2022-02-03,Pays de la Loire,52,109382642,48482585917.0
2022-02-03,Provence-Alpes-Côte d'Azur,93,168218998,66891690405.0
2022-02-03,Île-de-France,11,313317606,108537330590.0
2022-02-04,Auvergne-Rhône-Alpes,84,231483634,95752373126.0
2022-02-04,Bourgogne-Franche-Comté,27,82265232,33093950638.0
2022-02-04,Bretagne,53,103598086,42843773693.0
2022-02-04,Centre-Val de Loire,24,68823756,32177218075.0
2022-02-04,Grand-Est,44,145768771,56845730477.0
2022-02-04,Hauts-de-France,32,142655538,55155430970.0
2022-02-04,Normandie,28,95198546,41636463368.0
2022-02-04,Nouvelle Aquitaine,75,174044158,75892152728.0
2022-02-04,Occitanie,76,188749844,77010046925.0
2022-02-04,Pays de la Loire,52,109393644,48322674433.0
2022-02-04,Provence-Alpes-Côte d'Azur,93,168235960,66721448485.0
2022-02-04,Île-de-France,11,313362000,108357002292.0
2022-02-05,Auvergne-Rhône-Alpes,84,231475230,97407249065.0
2022-02-05,Bourgogne-Franche-Comté,27,82260650,33769679139.0
